value,location_id,date,province_id,autonomous_region_id,age_range,sex,_id
2015,39075,2007-02,39,6,>=45,M,39075/2007-02-01/>=45/M
354,39075,2007-02,39,6,<25,H,39075/2007-02-01/<25/H
402,39075,2007-02,39,6,25-44,H,39075/2007-02-01/25-44/H
2184,39075,2007-03,39,6,<25,M,39075/2007-03-01/<25/M
334,39075,2007-03,39,6,<25,H,39075/2007-03-01/<25/H
1387,39075,2007-03,39,6,>=45,H,39075/2007-03-01/>=45/H
376,39075,2007-03,39,6,25-44,H,39075/2007-03-01/25-44/H
1244,39075,2007-03,39,6,25-44,M,39075/2007-03-01/25-44/M
2024,39075,2007-03,39,6,>=45,M,39075/2007-03-01/>=45/M
2066,39075,2007-04,39,6,<25,M,39075/2007-04-01/<25/M
1211,39075,2007-04,39,6,25-44,M,39075/2007-04-01/25-44/M
1991,39075,2007-04,39,6,>=45,M,39075/2007-04-01/>=45/M
366,39075,2007-04,39,6,25-44,H,39075/2007-04-01/25-44/H
1334,39075,2007-04,39,6,>=45,H,39075/2007-04-01/>=45/H
333,39075,2007-04,39,6,<25,H,39075/2007-04-01/<25/H
296,39075,2007-05,39,6,25-44,H,39075/2007-05-01/25-44/H
1975,39075,2007-05,39,6,>=45,M,39075/2007-05-01/>=45/M
1163,39075,2007-05,39,6,25-44,M,39075/2007-05-01/25-44/M
275,39075,2007-05,39,6,<25,H,39075/2007-05-01/<25/H
1226,39075,2007-05,39,6,>=45,H,39075/2007-05-01/>=45/H
1976,39075,2007-05,39,6,<25,M,39075/2007-05-01/<25/M
269,39075,2007-06,39,6,<25,H,39075/2007-06-01/<25/H
1140,39075,2007-06,39,6,25-44,M,39075/2007-06-01/25-44/M
1891,39075,2007-06,39,6,>=45,M,39075/2007-06-01/>=45/M
263,39075,2007-06,39,6,25-44,H,39075/2007-06-01/25-44/H
1207,39075,2007-06,39,6,>=45,H,39075/2007-06-01/>=45/H
1834,39075,2007-06,39,6,<25,M,39075/2007-06-01/<25/M
269,39075,2007-07,39,6,<25,H,39075/2007-07-01/<25/H
1774,39075,2007-07,39,6,<25,M,39075/2007-07-01/<25/M
1823,39075,2007-07,39,6,>=45,M,39075/2007-07-01/>=45/M
1230,39075,2007-07,39,6,>=45,H,39075/2007-07-01/>=45/H
1109,39075,2007-07,39,6,25-44,M,39075/2007-07-01/25-44/M
250,39075,2007-07,39,6,25-44,H,39075/2007-07-01/25-44/H
314,39075,2007-08,39,6,<25,H,39075/2007-08-01/<25/H
1789,39075,2007-08,39,6,<25,M,39075/2007-08-01/<25/M
1126,39075,2007-08,39,6,25-44,M,39075/2007-08-01/25-44/M
1819,39075,2007-08,39,6,>=45,M,39075/2007-08-01/>=45/M
1346,39075,2007-08,39,6,>=45,H,39075/2007-08-01/>=45/H
252,39075,2007-08,39,6,25-44,H,39075/2007-08-01/25-44/H
1126,39075,2007-09,39,6,25-44,M,39075/2007-09-01/25-44/M
331,39075,2007-09,39,6,<25,H,39075/2007-09-01/<25/H
1815,39075,2007-09,39,6,<25,M,39075/2007-09-01/<25/M
283,39075,2007-09,39,6,25-44,H,39075/2007-09-01/25-44/H
1276,39075,2007-09,39,6,>=45,H,39075/2007-09-01/>=45/H
1830,39075,2007-09,39,6,>=45,M,39075/2007-09-01/>=45/M
358,39075,2007-10,39,6,<25,H,39075/2007-10-01/<25/H
1381,39075,2007-10,39,6,>=45,H,39075/2007-10-01/>=45/H
1139,39075,2007-10,39,6,25-44,M,39075/2007-10-01/25-44/M
1909,39075,2007-10,39,6,>=45,M,39075/2007-10-01/>=45/M
1892,39075,2007-10,39,6,<25,M,39075/2007-10-01/<25/M
320,39075,2007-10,39,6,25-44,H,39075/2007-10-01/25-44/H
1853,39075,2007-11,39,6,<25,M,39075/2007-11-01/<25/M
381,39075,2007-11,39,6,<25,H,39075/2007-11-01/<25/H
328,39075,2007-11,39,6,25-44,H,39075/2007-11-01/25-44/H
1152,39075,2007-11,39,6,25-44,M,39075/2007-11-01/25-44/M
1969,39075,2007-11,39,6,>=45,M,39075/2007-11-01/>=45/M
1446,39075,2007-11,39,6,>=45,H,39075/2007-11-01/>=45/H
1209,39075,2007-12,39,6,25-44,M,39075/2007-12-01/25-44/M
1546,39075,2007-12,39,6,>=45,H,39075/2007-12-01/>=45/H
1806,39075,2007-12,39,6,<25,M,39075/2007-12-01/<25/M
312,39075,2007-12,39,6,25-44,H,39075/2007-12-01/25-44/H
1951,39075,2007-12,39,6,>=45,M,39075/2007-12-01/>=45/M
387,39075,2007-12,39,6,<25,H,39075/2007-12-01/<25/H
2108,39075,2008-01,39,6,>=45,M,39075/2008-01-01/>=45/M
408,39075,2008-01,39,6,<25,H,39075/2008-01-01/<25/H
1668,39075,2008-01,39,6,>=45,H,39075/2008-01-01/>=45/H
341,39075,2008-01,39,6,25-44,H,39075/2008-01-01/25-44/H
1273,39075,2008-01,39,6,25-44,M,39075/2008-01-01/25-44/M
2123,39075,2008-01,39,6,<25,M,39075/2008-01-01/<25/M
1296,39075,2008-02,39,6,25-44,M,39075/2008-02-01/25-44/M
334,39075,2008-02,39,6,25-44,H,39075/2008-02-01/25-44/H
2147,39075,2008-02,39,6,<25,M,39075/2008-02-01/<25/M
1727,39075,2008-02,39,6,>=45,H,39075/2008-02-01/>=45/H
2073,39075,2008-02,39,6,>=45,M,39075/2008-02-01/>=45/M
418,39075,2008-02,39,6,<25,H,39075/2008-02-01/<25/H
2036,39075,2008-03,39,6,>=45,M,39075/2008-03-01/>=45/M
1300,39075,2008-03,39,6,25-44,M,39075/2008-03-01/25-44/M
424,39075,2008-03,39,6,<25,H,39075/2008-03-01/<25/H
329,39075,2008-03,39,6,25-44,H,39075/2008-03-01/25-44/H
2085,39075,2008-03,39,6,<25,M,39075/2008-03-01/<25/M
1681,39075,2008-03,39,6,>=45,H,39075/2008-03-01/>=45/H
424,39075,2008-04,39,6,<25,H,39075/2008-04-01/<25/H
1681,39075,2008-04,39,6,>=45,H,39075/2008-04-01/>=45/H
329,39075,2008-04,39,6,25-44,H,39075/2008-04-01/25-44/H
1300,39075,2008-04,39,6,25-44,M,39075/2008-04-01/25-44/M
2036,39075,2008-04,39,6,>=45,M,39075/2008-04-01/>=45/M
2085,39075,2008-04,39,6,<25,M,39075/2008-04-01/<25/M
1754,39075,2008-05,39,6,>=45,H,39075/2008-05-01/>=45/H
325,39075,2008-05,39,6,25-44,H,39075/2008-05-01/25-44/H
2002,39075,2008-05,39,6,<25,M,39075/2008-05-01/<25/M
1323,39075,2008-05,39,6,25-44,M,39075/2008-05-01/25-44/M
1997,39075,2008-05,39,6,>=45,M,39075/2008-05-01/>=45/M
431,39075,2008-05,39,6,<25,H,39075/2008-05-01/<25/H
1318,39075,2008-06,39,6,25-44,M,39075/2008-06-01/25-44/M
1923,39075,2008-06,39,6,>=45,M,39075/2008-06-01/>=45/M
