value,location_id,date,province_id,autonomous_region_id,age_range,sex,_id
3414,39075,2016-01,39,6,>=45,H,39075/2016-01-01/>=45/H
3720,39075,2016-01,39,6,>=45,M,39075/2016-01-01/>=45/M
456,39075,2016-01,39,6,25-44,H,39075/2016-01-01/25-44/H
3551,39075,2016-01,39,6,<25,M,39075/2016-01-01/<25/M
519,39075,2016-02,39,6,<25,H,39075/2016-02-01/<25/H
3536,39075,2016-02,39,6,<25,M,39075/2016-02-01/<25/M
3392,39075,2016-02,39,6,>=45,H,39075/2016-02-01/>=45/H
499,39075,2016-02,39,6,25-44,H,39075/2016-02-01/25-44/H
3515,39075,2016-02,39,6,25-44,M,39075/2016-02-01/25-44/M
3695,39075,2016-02,39,6,>=45,M,39075/2016-02-01/>=45/M
483,39075,2016-03,39,6,25-44,H,39075/2016-03-01/25-44/H
3605,39075,2016-03,39,6,>=45,M,39075/2016-03-01/>=45/M
3362,39075,2016-03,39,6,<25,M,39075/2016-03-01/<25/M
487,39075,2016-03,39,6,<25,H,39075/2016-03-01/<25/H
3180,39075,2016-03,39,6,>=45,H,39075/2016-03-01/>=45/H
3413,39075,2016-03,39,6,25-44,M,39075/2016-03-01/25-44/M
3073,39075,2016-04,39,6,>=45,H,39075/2016-04-01/>=45/H
3289,39075,2016-04,39,6,<25,M,39075/2016-04-01/<25/M
477,39075,2016-04,39,6,<25,H,39075/2016-04-01/<25/H
3344,39075,2016-04,39,6,25-44,M,39075/2016-04-01/25-44/M
3565,39075,2016-04,39,6,>=45,M,39075/2016-04-01/>=45/M
446,39075,2016-04,39,6,25-44,H,39075/2016-04-01/25-44/H
462,39075,2016-05,39,6,<25,H,39075/2016-05-01/<25/H
3002,39075,2016-05,39,6,>=45,H,39075/2016-05-01/>=45/H
3192,39075,2016-05,39,6,<25,M,39075/2016-05-01/<25/M
3252,39075,2016-05,39,6,25-44,M,39075/2016-05-01/25-44/M
428,39075,2016-05,39,6,25-44,H,39075/2016-05-01/25-44/H
3514,39075,2016-05,39,6,>=45,M,39075/2016-05-01/>=45/M
2773,39075,2016-06,39,6,>=45,H,39075/2016-06-01/>=45/H
3187,39075,2016-06,39,6,25-44,M,39075/2016-06-01/25-44/M
3410,39075,2016-06,39,6,>=45,M,39075/2016-06-01/>=45/M
416,39075,2016-06,39,6,<25,H,39075/2016-06-01/<25/H
391,39075,2016-06,39,6,25-44,H,39075/2016-06-01/25-44/H
2976,39075,2016-06,39,6,<25,M,39075/2016-06-01/<25/M
360,39075,2016-07,39,6,25-44,H,39075/2016-07-01/25-44/H
3130,39075,2016-07,39,6,25-44,M,39075/2016-07-01/25-44/M
2553,39075,2016-07,39,6,>=45,H,39075/2016-07-01/>=45/H
2818,39075,2016-07,39,6,<25,M,39075/2016-07-01/<25/M
381,39075,2016-07,39,6,<25,H,39075/2016-07-01/<25/H
3359,39075,2016-07,39,6,>=45,M,39075/2016-07-01/>=45/M
370,39075,2016-08,39,6,<25,H,39075/2016-08-01/<25/H
2587,39075,2016-08,39,6,>=45,H,39075/2016-08-01/>=45/H
3382,39075,2016-08,39,6,>=45,M,39075/2016-08-01/>=45/M
362,39075,2016-08,39,6,25-44,H,39075/2016-08-01/25-44/H
2869,39075,2016-08,39,6,<25,M,39075/2016-08-01/<25/M
3085,39075,2016-08,39,6,25-44,M,39075/2016-08-01/25-44/M
3493,39075,2016-09,39,6,>=45,M,39075/2016-09-01/>=45/M
396,39075,2016-09,39,6,25-44,H,39075/2016-09-01/25-44/H
2979,39075,2016-09,39,6,<25,M,39075/2016-09-01/<25/M
421,39075,2016-09,39,6,<25,H,39075/2016-09-01/<25/H
3109,39075,2016-09,39,6,25-44,M,39075/2016-09-01/25-44/M
2683,39075,2016-09,39,6,>=45,H,39075/2016-09-01/>=45/H
3121,39075,2016-10,39,6,25-44,M,39075/2016-10-01/25-44/M
429,39075,2016-10,39,6,<25,H,39075/2016-10-01/<25/H
436,39075,2016-10,39,6,25-44,H,39075/2016-10-01/25-44/H
3070,39075,2016-10,39,6,<25,M,39075/2016-10-01/<25/M
3538,39075,2016-10,39,6,>=45,M,39075/2016-10-01/>=45/M
2791,39075,2016-10,39,6,>=45,H,39075/2016-10-01/>=45/H
