value,location_id,date,province_id,autonomous_region_id,age_range,_id
6267,39075,2012-03,39,6,>=45,39075/2012-03-01/>=45
1409,39075,2012-04,39,6,<25,39075/2012-04-01/<25
8428,39075,2012-04,39,6,25-44,39075/2012-04-01/25-44
6338,39075,2012-04,39,6,>=45,39075/2012-04-01/>=45
1341,39075,2012-05,39,6,<25,39075/2012-05-01/<25
8319,39075,2012-05,39,6,25-44,39075/2012-05-01/25-44
6328,39075,2012-05,39,6,>=45,39075/2012-05-01/>=45
6276,39075,2012-06,39,6,>=45,39075/2012-06-01/>=45
1160,39075,2012-06,39,6,<25,39075/2012-06-01/<25
8100,39075,2012-06,39,6,25-44,39075/2012-06-01/25-44
1082,39075,2012-07,39,6,<25,39075/2012-07-01/<25
6174,39075,2012-07,39,6,>=45,39075/2012-07-01/>=45
7738,39075,2012-07,39,6,25-44,39075/2012-07-01/25-44
1088,39075,2012-08,39,6,<25,39075/2012-08-01/<25
6252,39075,2012-08,39,6,>=45,39075/2012-08-01/>=45
7920,39075,2012-08,39,6,25-44,39075/2012-08-01/25-44
1191,39075,2012-09,39,6,<25,39075/2012-09-01/<25
6346,39075,2012-09,39,6,>=45,39075/2012-09-01/>=45
8146,39075,2012-09,39,6,25-44,39075/2012-09-01/25-44
8482,39075,2012-10,39,6,25-44,39075/2012-10-01/25-44
1351,39075,2012-10,39,6,<25,39075/2012-10-01/<25
6570,39075,2012-10,39,6,>=45,39075/2012-10-01/>=45
1346,39075,2012-11,39,6,<25,39075/2012-11-01/<25
6773,39075,2012-11,39,6,>=45,39075/2012-11-01/>=45
8586,39075,2012-11,39,6,25-44,39075/2012-11-01/25-44
1256,39075,2012-12,39,6,<25,39075/2012-12-01/<25
8414,39075,2012-12,39,6,25-44,39075/2012-12-01/25-44
6842,39075,2012-12,39,6,>=45,39075/2012-12-01/>=45
8855,39075,2013-01,39,6,25-44,39075/2013-01-01/25-44
7041,39075,2013-01,39,6,>=45,39075/2013-01-01/>=45
1251,39075,2013-01,39,6,<25,39075/2013-01-01/<25
8909,39075,2013-02,39,6,25-44,39075/2013-02-01/25-44
7103,39075,2013-02,39,6,>=45,39075/2013-02-01/>=45
1320,39075,2013-02,39,6,<25,39075/2013-02-01/<25
8932,39075,2013-03,39,6,25-44,39075/2013-03-01/25-44
1301,39075,2013-03,39,6,<25,39075/2013-03-01/<25
7089,39075,2013-03,39,6,>=45,39075/2013-03-01/>=45
1317,39075,2013-04,39,6,<25,39075/2013-04-01/<25
7089,39075,2013-04,39,6,>=45,39075/2013-04-01/>=45
8911,39075,2013-04,39,6,25-44,39075/2013-04-01/25-44
1215,39075,2013-05,39,6,<25,39075/2013-05-01/<25
8797,39075,2013-05,39,6,25-44,39075/2013-05-01/25-44
7083,39075,2013-05,39,6,>=45,39075/2013-05-01/>=45
7037,39075,2013-06,39,6,>=45,39075/2013-06-01/>=45
1067,39075,2013-06,39,6,<25,39075/2013-06-01/<25
8469,39075,2013-06,39,6,25-44,39075/2013-06-01/25-44
980,39075,2013-07,39,6,<25,39075/2013-07-01/<25
6863,39075,2013-07,39,6,>=45,39075/2013-07-01/>=45
7555,39075,2013-07,39,6,25-44,39075/2013-07-01/25-44
1000,39075,2013-08,39,6,<25,39075/2013-08-01/<25
7576,39075,2013-08,39,6,25-44,39075/2013-08-01/25-44
6899,39075,2013-08,39,6,>=45,39075/2013-08-01/>=45
7780,39075,2013-09,39,6,25-44,39075/2013-09-01/25-44
1123,39075,2013-09,39,6,<25,39075/2013-09-01/<25
6993,39075,2013-09,39,6,>=45,39075/2013-09-01/>=45
7187,39075,2013-10,39,6,>=45,39075/2013-10-01/>=45
8061,39075,2013-10,39,6,25-44,39075/2013-10-01/25-44
1169,39075,2013-10,39,6,<25,39075/2013-10-01/<25
7269,39075,2013-11,39,6,>=45,39075/2013-11-01/>=45
1160,39075,2013-11,39,6,<25,39075/2013-11-01/<25
8080,39075,2013-11,39,6,25-44,39075/2013-11-01/25-44
